component_id,driver_count,customer_count,pair_count,high_risk_pair_count,average_pair_score,maximum_pair_score,rare_shared_entity_count,weighted_internal_edge_sum,component_density,network_risk_score,high_risk_pair_ratio,component_risk_tier
ride_component_104,2,2,2,0,38.18,42.6,6,1,1.0,41.3,0.0,LOW_PRIORITY
ride_component_16,4,5,5,0,40.96,53.83,13,4,0.4,41.29,0.0,LOW_PRIORITY
ride_component_205,3,4,4,0,35.34,36.72,11,4,0.67,41.28,0.0,LOW_PRIORITY
ride_component_9,8,8,8,0,37.04,51.8,26,8,0.29,41.21,0.0,LOW_PRIORITY
ride_component_90,5,5,5,0,31.25,48.53,17,5,0.5,41.14,0.0,LOW_PRIORITY
ride_component_194,3,3,3,0,39.83,47.82,8,3,1.0,41.05,0.0,LOW_PRIORITY
ride_component_63,5,6,6,0,42.05,56.01,16,6,0.4,41.03,0.0,LOW_PRIORITY
ride_component_123,2,2,2,0,36.24,36.25,6,1,1.0,40.7,0.0,LOW_PRIORITY
ride_component_79,3,3,3,0,37.7,40.87,6,3,1.0,40.67,0.0,LOW_PRIORITY
ride_component_570,2,2,2,0,49.36,53.66,6,1,1.0,40.56,0.0,LOW_PRIORITY
ride_component_92,2,2,2,0,37.14,37.81,6,1,1.0,40.56,0.0,LOW_PRIORITY
ride_component_245,6,7,7,0,33.16,52.44,23,9,0.43,40.53,0.0,LOW_PRIORITY
ride_component_137,3,3,3,0,36.1,37.66,9,2,0.67,40.46,0.0,LOW_PRIORITY
ride_component_265,2,2,2,0,36.92,38.72,6,1,1.0,40.26,0.0,LOW_PRIORITY
ride_component_144,2,2,2,0,36.61,36.83,6,1,1.0,40.19,0.0,LOW_PRIORITY
ride_component_225,1,2,2,0,37.9,38.3,6,1,1.0,40.18,0.0,LOW_PRIORITY
ride_component_515,1,2,2,0,30.3,33.34,8,1,1.0,40.08,0.0,LOW_PRIORITY
ride_component_12,7,7,7,0,35.97,47.36,22,7,0.33,39.93,0.0,LOW_PRIORITY
ride_component_274,2,2,2,0,35.58,40.23,6,1,1.0,39.66,0.0,LOW_PRIORITY
ride_component_281,3,3,3,0,37.67,42.97,9,2,0.67,39.63,0.0,LOW_PRIORITY
ride_component_391,2,4,4,0,31.74,39.47,14,3,0.5,39.62,0.0,LOW_PRIORITY
ride_component_521,3,3,3,0,32.93,38.74,10,2,0.67,39.46,0.0,LOW_PRIORITY
ride_component_714,2,2,2,0,47.8,48.35,6,1,1.0,39.44,0.0,LOW_PRIORITY
ride_component_165,2,2,2,0,35.66,37.18,6,1,1.0,39.08,0.0,LOW_PRIORITY
ride_component_82,2,2,2,0,35.72,41.09,6,1,1.0,38.81,0.0,LOW_PRIORITY
ride_component_38,15,18,18,0,37.37,58.37,56,25,0.16,38.61,0.0,LOW_PRIORITY
ride_component_15,4,4,4,0,38.01,45.37,8,3,0.5,38.55,0.0,LOW_PRIORITY
ride_component_43,10,12,12,0,34.98,51.62,41,13,0.2,38.45,0.0,LOW_PRIORITY
ride_component_24,7,9,9,0,34.27,53.6,27,11,0.31,38.42,0.0,LOW_PRIORITY
ride_component_280,2,2,2,0,32.89,33.36,6,1,1.0,38.32,0.0,LOW_PRIORITY
ride_component_22,2,2,2,0,38.6,43.31,4,1,1.0,37.95,0.0,LOW_PRIORITY
ride_component_365,2,2,2,0,32.3,32.86,6,1,1.0,37.95,0.0,LOW_PRIORITY
ride_component_451,1,4,4,0,31.95,35.96,13,3,0.5,37.89,0.0,LOW_PRIORITY
ride_component_122,2,2,2,0,35.12,36.38,6,1,1.0,37.88,0.0,LOW_PRIORITY
ride_component_338,2,2,2,0,31.99,33.74,6,1,1.0,37.82,0.0,LOW_PRIORITY
ride_component_369,2,2,2,0,41.96,53.0,4,1,1.0,37.81,0.0,LOW_PRIORITY
ride_component_669,2,4,4,0,31.6,35.83,12,4,0.67,37.8,0.0,LOW_PRIORITY
ride_component_339,4,4,4,0,31.36,34.06,11,3,0.5,37.75,0.0,LOW_PRIORITY
ride_component_244,2,2,2,0,33.2,33.56,6,1,1.0,37.7,0.0,LOW_PRIORITY
ride_component_60,3,4,4,0,32.67,44.41,10,3,0.5,37.53,0.0,LOW_PRIORITY
ride_component_26,7,7,7,0,35.43,44.47,19,6,0.29,37.48,0.0,LOW_PRIORITY
ride_component_259,4,4,4,0,31.87,34.52,10,3,0.5,37.44,0.0,LOW_PRIORITY
ride_component_1034,2,2,2,0,44.41,50.27,6,1,1.0,37.42,0.0,LOW_PRIORITY
ride_component_498,1,3,3,0,33.48,40.87,9,2,0.67,37.36,0.0,LOW_PRIORITY
ride_component_370,2,2,2,0,31.07,32.89,6,1,1.0,37.17,0.0,LOW_PRIORITY
ride_component_65,13,13,13,0,33.65,40.85,34,18,0.23,37.12,0.0,LOW_PRIORITY
ride_component_287,6,6,6,0,31.92,36.31,12,7,0.47,37.1,0.0,LOW_PRIORITY
ride_component_355,5,5,5,0,28.26,33.06,17,4,0.4,37.03,0.0,LOW_PRIORITY
ride_component_684,2,1,2,0,37.41,42.75,6,1,1.0,36.64,0.0,LOW_PRIORITY
ride_component_160,2,2,2,0,31.81,34.39,6,1,1.0,36.56,0.0,LOW_PRIORITY
ride_component_124,2,1,2,0,30.1,37.9,6,1,1.0,36.27,0.0,LOW_PRIORITY
ride_component_162,2,2,2,0,30.26,41.25,6,1,1.0,36.27,0.0,LOW_PRIORITY
ride_component_250,2,3,3,0,32.48,38.94,8,2,0.67,36.21,0.0,LOW_PRIORITY
ride_component_417,2,3,3,0,30.93,34.84,8,2,0.67,36.19,0.0,LOW_PRIORITY
ride_component_91,3,3,3,0,34.47,38.01,6,2,0.67,36.14,0.0,LOW_PRIORITY
ride_component_39,2,2,2,0,33.84,46.49,6,1,1.0,36.14,0.0,LOW_PRIORITY
ride_component_446,2,2,2,0,28.79,31.59,6,1,1.0,36.04,0.0,LOW_PRIORITY
ride_component_127,2,2,2,0,31.17,47.25,6,1,1.0,36.0,0.0,LOW_PRIORITY
ride_component_40,12,13,13,0,34.07,46.82,35,14,0.18,35.74,0.0,LOW_PRIORITY
ride_component_17,10,10,10,0,36.1,44.37,25,9,0.2,35.65,0.0,LOW_PRIORITY
ride_component_108,3,3,3,0,33.63,36.53,6,2,0.67,35.57,0.0,LOW_PRIORITY
ride_component_454,4,4,4,0,25.69,31.88,11,5,0.83,35.48,0.0,LOW_PRIORITY
ride_component_57,2,2,2,0,35.5,37.63,6,1,1.0,35.34,0.0,LOW_PRIORITY
ride_component_146,11,11,11,0,31.29,45.88,33,13,0.24,35.26,0.0,LOW_PRIORITY
ride_component_107,8,8,8,0,34.05,38.84,18,8,0.29,35.26,0.0,LOW_PRIORITY
ride_component_282,2,2,2,0,33.67,34.75,4,1,1.0,35.11,0.0,LOW_PRIORITY
ride_component_238,2,2,2,0,28.71,33.72,6,1,1.0,35.06,0.0,LOW_PRIORITY
ride_component_473,2,2,2,0,32.23,32.58,6,1,1.0,35.06,0.0,LOW_PRIORITY
ride_component_139,2,2,2,0,33.79,34.54,4,1,1.0,34.92,0.0,LOW_PRIORITY
ride_component_125,2,2,2,0,33.69,34.09,6,1,1.0,34.72,0.0,LOW_PRIORITY
ride_component_164,2,2,2,0,33.34,34.7,4,1,1.0,34.54,0.0,LOW_PRIORITY
ride_component_522,2,2,2,0,28.08,28.34,6,1,1.0,34.52,0.0,LOW_PRIORITY
ride_component_155,3,3,3,0,30.83,41.78,8,2,0.67,34.48,0.0,LOW_PRIORITY
ride_component_504,2,2,2,0,29.89,33.72,6,1,1.0,34.45,0.0,LOW_PRIORITY
ride_component_93,7,8,8,0,30.35,35.81,22,8,0.29,34.38,0.0,LOW_PRIORITY
ride_component_638,2,2,2,0,30.17,39.06,6,1,1.0,34.38,0.0,LOW_PRIORITY
ride_component_76,2,2,2,0,34.47,37.65,4,1,1.0,34.04,0.0,LOW_PRIORITY
ride_component_213,2,2,2,0,31.27,33.5,4,1,1.0,34.0,0.0,LOW_PRIORITY
ride_component_46,9,9,9,0,30.53,39.09,22,10,0.28,33.74,0.0,LOW_PRIORITY
ride_component_129,3,3,3,0,27.48,34.79,7,2,0.67,33.71,0.0,LOW_PRIORITY
ride_component_6,2,2,2,0,35.82,44.48,4,1,1.0,33.7,0.0,LOW_PRIORITY
ride_component_100,2,2,2,0,32.82,35.16,4,1,1.0,33.46,0.0,LOW_PRIORITY
ride_component_204,2,2,2,0,31.12,32.76,4,1,1.0,33.18,0.0,LOW_PRIORITY
ride_component_761,3,1,3,0,24.82,25.17,9,2,0.67,32.76,0.0,LOW_PRIORITY
ride_component_214,2,3,3,0,26.65,33.37,9,2,0.67,32.75,0.0,LOW_PRIORITY
ride_component_61,29,30,30,0,30.94,62.31,85,37,0.09,32.59,0.0,LOW_PRIORITY
ride_component_326,2,2,2,0,40.65,53.27,4,1,1.0,32.5,0.0,LOW_PRIORITY
ride_component_337,2,2,2,0,29.92,31.3,4,1,1.0,32.32,0.0,LOW_PRIORITY
ride_component_456,3,3,3,0,27.72,28.53,6,2,0.67,32.23,0.0,LOW_PRIORITY
ride_component_699,2,2,2,0,26.42,27.48,6,1,1.0,32.17,0.0,LOW_PRIORITY
ride_component_197,3,3,3,0,30.36,32.63,6,2,0.67,32.0,0.0,LOW_PRIORITY
ride_component_533,6,6,6,0,23.65,36.42,18,5,0.33,31.45,0.0,LOW_PRIORITY
ride_component_363,2,2,2,0,23.24,25.98,6,1,1.0,31.25,0.0,LOW_PRIORITY
ride_component_286,2,2,2,0,26.54,31.78,4,1,1.0,31.02,0.0,LOW_PRIORITY
ride_component_1347,2,1,2,0,14.19,14.95,10,1,1.0,30.28,0.0,LOW_PRIORITY
ride_component_1172,2,2,2,0,24.25,25.73,6,1,1.0,30.26,0.0,LOW_PRIORITY
ride_component_1440,2,1,2,0,24.02,35.58,6,1,1.0,29.36,0.0,LOW_PRIORITY
ride_component_1363,2,1,2,0,24.72,26.25,6,1,1.0,29.29,0.0,LOW_PRIORITY
ride_component_772,2,2,2,0,18.74,23.98,6,1,1.0,28.66,0.0,LOW_PRIORITY
ride_component_1184,2,1,2,0,19.3,21.98,6,1,1.0,27.69,0.0,LOW_PRIORITY
ride_component_359,1,2,2,0,22.14,31.2,4,1,1.0,27.44,0.0,LOW_PRIORITY
ride_component_978,3,1,3,0,12.45,13.08,9,2,0.67,26.67,0.0,LOW_PRIORITY
ride_component_1138,2,1,2,0,14.81,15.65,6,1,1.0,26.55,0.0,LOW_PRIORITY
ride_component_957,2,1,2,0,16.66,17.79,6,1,1.0,26.42,0.0,LOW_PRIORITY
ride_component_8,1,1,1,0,42.78,42.78,0,0,0.0,14.11,0.0,LOW_PRIORITY
ride_component_19,1,1,1,0,41.08,41.08,0,0,0.0,13.72,0.0,LOW_PRIORITY
ride_component_189,1,1,1,0,47.48,47.48,0,0,0.0,13.61,0.0,LOW_PRIORITY
ride_component_388,1,1,1,0,50.36,50.36,0,0,0.0,13.28,0.0,LOW_PRIORITY
ride_component_32,1,1,1,0,37.69,37.69,0,0,0.0,13.19,0.0,LOW_PRIORITY
ride_component_116,1,1,1,0,39.46,39.46,0,0,0.0,13.09,0.0,LOW_PRIORITY
ride_component_149,1,1,1,0,39.72,39.72,0,0,0.0,13.07,0.0,LOW_PRIORITY
ride_component_384,1,1,1,0,41.0,41.0,0,0,0.0,12.96,0.0,LOW_PRIORITY
ride_component_55,1,1,1,0,35.87,35.87,0,0,0.0,12.83,0.0,LOW_PRIORITY
ride_component_28,1,1,1,0,37.69,37.69,0,0,0.0,12.82,0.0,LOW_PRIORITY
ride_component_70,1,1,1,0,35.56,35.56,0,0,0.0,12.68,0.0,LOW_PRIORITY
ride_component_58,1,1,1,0,34.65,34.65,0,0,0.0,12.62,0.0,LOW_PRIORITY
ride_component_7,1,1,1,0,42.1,42.1,0,0,0.0,12.62,0.0,LOW_PRIORITY
ride_component_77,1,1,1,0,35.11,35.11,0,0,0.0,12.61,0.0,LOW_PRIORITY
ride_component_10,1,1,1,0,42.07,42.07,0,0,0.0,12.6,0.0,LOW_PRIORITY
ride_component_463,1,1,1,0,41.68,41.68,0,0,0.0,12.57,0.0,LOW_PRIORITY
ride_component_62,1,1,1,0,34.09,34.09,0,0,0.0,12.53,0.0,LOW_PRIORITY
ride_component_71,1,1,1,0,33.64,33.64,0,0,0.0,12.43,0.0,LOW_PRIORITY
ride_component_362,1,1,1,0,36.41,36.41,0,0,0.0,12.4,0.0,LOW_PRIORITY
ride_component_237,1,1,1,0,35.21,35.21,0,0,0.0,12.39,0.0,LOW_PRIORITY
ride_component_59,1,1,1,0,32.88,32.88,0,0,0.0,12.38,0.0,LOW_PRIORITY
ride_component_192,1,1,1,0,34.63,34.63,0,0,0.0,12.36,0.0,LOW_PRIORITY
ride_component_114,1,1,1,0,33.74,33.74,0,0,0.0,12.35,0.0,LOW_PRIORITY
ride_component_283,1,1,1,0,35.24,35.24,0,0,0.0,12.35,0.0,LOW_PRIORITY
ride_component_73,1,1,1,0,32.93,32.93,0,0,0.0,12.33,0.0,LOW_PRIORITY
ride_component_219,1,1,1,0,34.05,34.05,0,0,0.0,12.26,0.0,LOW_PRIORITY
ride_component_106,1,1,1,0,32.57,32.57,0,0,0.0,12.22,0.0,LOW_PRIORITY
ride_component_74,1,1,1,0,32.01,32.01,0,0,0.0,12.21,0.0,LOW_PRIORITY
ride_component_322,1,1,1,0,34.16,34.16,0,0,0.0,12.17,0.0,LOW_PRIORITY
ride_component_166,1,1,1,0,32.85,32.85,0,0,0.0,12.15,0.0,LOW_PRIORITY
ride_component_51,1,1,1,0,33.1,33.1,0,0,0.0,12.1,0.0,LOW_PRIORITY
ride_component_215,1,1,1,0,32.47,32.47,0,0,0.0,12.06,0.0,LOW_PRIORITY
ride_component_87,1,1,1,0,31.1,31.1,0,0,0.0,12.06,0.0,LOW_PRIORITY
ride_component_118,1,1,1,0,31.49,31.49,0,0,0.0,12.05,0.0,LOW_PRIORITY
ride_component_110,1,1,1,0,30.44,30.44,0,0,0.0,11.93,0.0,LOW_PRIORITY
ride_component_115,1,1,1,0,30.42,30.42,0,0,0.0,11.92,0.0,LOW_PRIORITY
ride_component_119,1,1,1,0,36.31,36.31,0,0,0.0,11.87,0.0,LOW_PRIORITY
ride_component_85,1,1,1,0,32.4,32.4,0,0,0.0,11.87,0.0,LOW_PRIORITY
ride_component_483,1,1,1,0,48.13,48.13,0,0,0.0,11.85,0.0,LOW_PRIORITY
ride_component_271,1,1,1,0,46.03,46.03,0,0,0.0,11.83,0.0,LOW_PRIORITY
ride_component_226,1,1,1,0,36.48,36.48,0,0,0.0,11.77,0.0,LOW_PRIORITY
ride_component_203,1,1,1,0,30.0,30.0,0,0,0.0,11.75,0.0,LOW_PRIORITY
ride_component_80,1,1,1,0,31.34,31.34,0,0,0.0,11.74,0.0,LOW_PRIORITY
ride_component_142,1,1,1,0,32.12,32.12,0,0,0.0,11.73,0.0,LOW_PRIORITY
ride_component_113,1,1,1,0,31.59,31.59,0,0,0.0,11.71,0.0,LOW_PRIORITY
ride_component_220,1,1,1,0,44.51,44.51,0,0,0.0,11.7,0.0,LOW_PRIORITY
ride_component_275,1,1,1,0,30.19,30.19,0,0,0.0,11.7,0.0,LOW_PRIORITY
ride_component_89,1,1,1,0,31.04,31.04,0,0,0.0,11.69,0.0,LOW_PRIORITY
ride_component_397,1,1,1,0,33.84,33.84,0,0,0.0,11.66,0.0,LOW_PRIORITY
ride_component_45,1,1,1,1,64.19,64.19,0,0,0.0,11.65,1.0,LOW_PRIORITY
ride_component_120,1,1,1,0,30.92,30.92,0,0,0.0,11.61,0.0,LOW_PRIORITY
ride_component_171,1,1,1,0,28.65,28.65,0,0,0.0,11.6,0.0,LOW_PRIORITY
ride_component_387,1,1,1,0,30.42,30.42,0,0,0.0,11.59,0.0,LOW_PRIORITY
ride_component_35,1,1,1,0,40.01,40.01,0,0,0.0,11.58,0.0,LOW_PRIORITY
ride_component_236,1,1,1,0,28.92,28.92,0,0,0.0,11.57,0.0,LOW_PRIORITY
ride_component_18,1,1,1,0,44.51,44.51,0,0,0.0,11.55,0.0,LOW_PRIORITY
ride_component_277,1,1,1,0,28.87,28.87,0,0,0.0,11.53,0.0,LOW_PRIORITY
ride_component_218,1,1,1,0,28.27,28.27,0,0,0.0,11.51,0.0,LOW_PRIORITY
ride_component_258,1,1,1,0,28.48,28.48,0,0,0.0,11.5,0.0,LOW_PRIORITY
ride_component_235,1,1,1,0,28.3,28.3,0,0,0.0,11.49,0.0,LOW_PRIORITY
ride_component_210,1,1,1,0,28.02,28.02,0,0,0.0,11.48,0.0,LOW_PRIORITY
ride_component_234,1,1,1,0,28.03,28.03,0,0,0.0,11.46,0.0,LOW_PRIORITY
ride_component_199,1,1,1,0,30.34,30.34,0,0,0.0,11.44,0.0,LOW_PRIORITY
ride_component_334,1,1,1,0,28.49,28.49,0,0,0.0,11.43,0.0,LOW_PRIORITY
ride_component_295,1,1,1,0,28.2,28.2,0,0,0.0,11.42,0.0,LOW_PRIORITY
ride_component_138,1,1,1,0,29.58,29.58,0,0,0.0,11.41,0.0,LOW_PRIORITY
ride_component_366,1,1,1,0,28.8,28.8,0,0,0.0,11.41,0.0,LOW_PRIORITY
ride_component_458,1,1,1,0,29.67,29.67,0,0,0.0,11.41,0.0,LOW_PRIORITY
ride_component_706,1,1,1,0,31.42,31.42,0,0,0.0,11.41,0.0,LOW_PRIORITY
ride_component_315,1,1,1,0,27.78,27.78,0,0,0.0,11.35,0.0,LOW_PRIORITY
ride_component_325,1,1,1,0,27.84,27.84,0,0,0.0,11.35,0.0,LOW_PRIORITY
ride_component_381,1,1,1,0,28.55,28.55,0,0,0.0,11.35,0.0,LOW_PRIORITY
ride_component_284,1,1,1,0,27.41,27.41,0,0,0.0,11.33,0.0,LOW_PRIORITY
ride_component_145,1,1,1,0,28.91,28.91,0,0,0.0,11.32,0.0,LOW_PRIORITY
ride_component_358,1,1,1,0,27.84,27.84,0,0,0.0,11.3,0.0,LOW_PRIORITY
ride_component_328,1,1,1,0,27.35,27.35,0,0,0.0,11.28,0.0,LOW_PRIORITY
ride_component_421,1,1,1,0,47.66,47.66,0,0,0.0,11.23,0.0,LOW_PRIORITY
ride_component_373,1,1,1,0,27.37,27.37,0,0,0.0,11.22,0.0,LOW_PRIORITY
ride_component_324,1,1,1,0,26.8,26.8,0,0,0.0,11.21,0.0,LOW_PRIORITY
ride_component_151,1,1,1,0,52.07,52.07,0,0,0.0,11.2,0.0,LOW_PRIORITY
ride_component_323,1,1,1,0,26.71,26.71,0,0,0.0,11.2,0.0,LOW_PRIORITY
ride_component_311,1,1,1,0,26.53,26.53,0,0,0.0,11.19,0.0,LOW_PRIORITY
ride_component_511,1,1,1,0,48.05,48.05,0,0,0.0,11.19,0.0,LOW_PRIORITY
ride_component_375,1,1,1,0,27.1,27.1,0,0,0.0,11.18,0.0,LOW_PRIORITY
ride_component_435,1,1,1,0,30.34,30.34,0,0,0.0,11.18,0.0,LOW_PRIORITY
ride_component_368,1,1,1,0,26.93,26.93,0,0,0.0,11.16,0.0,LOW_PRIORITY
ride_component_346,1,1,1,0,26.2,26.2,0,0,0.0,11.1,0.0,LOW_PRIORITY
ride_component_372,1,1,1,0,26.48,26.48,0,0,0.0,11.1,0.0,LOW_PRIORITY
ride_component_409,1,1,1,0,26.81,26.81,0,0,0.0,11.09,0.0,LOW_PRIORITY
ride_component_148,1,1,1,0,43.83,43.83,0,0,0.0,11.08,0.0,LOW_PRIORITY
ride_component_398,1,1,1,0,26.13,26.13,0,0,0.0,11.02,0.0,LOW_PRIORITY
ride_component_240,1,1,1,0,27.26,27.26,0,0,0.0,11.01,0.0,LOW_PRIORITY
ride_component_84,1,1,1,0,32.36,32.36,0,0,0.0,11.01,0.0,LOW_PRIORITY
ride_component_464,1,1,1,0,26.59,26.59,0,0,0.0,11.0,0.0,LOW_PRIORITY
ride_component_256,1,1,1,0,27.15,27.15,0,0,0.0,10.98,0.0,LOW_PRIORITY
ride_component_318,1,1,1,0,27.54,27.54,0,0,0.0,10.97,0.0,LOW_PRIORITY
ride_component_403,1,1,1,0,25.79,25.79,0,0,0.0,10.97,0.0,LOW_PRIORITY
ride_component_169,1,1,1,0,29.35,29.35,0,0,0.0,10.95,0.0,LOW_PRIORITY
ride_component_396,1,1,1,0,25.43,25.43,0,0,0.0,10.93,0.0,LOW_PRIORITY
ride_component_154,1,1,1,0,28.9,28.9,0,0,0.0,10.92,0.0,LOW_PRIORITY
ride_component_206,1,1,1,0,29.25,29.25,0,0,0.0,10.91,0.0,LOW_PRIORITY
ride_component_404,1,1,1,0,27.64,27.64,0,0,0.0,10.87,0.0,LOW_PRIORITY
ride_component_434,1,1,1,0,25.29,25.29,0,0,0.0,10.87,0.0,LOW_PRIORITY
ride_component_424,1,1,1,0,25.1,25.1,0,0,0.0,10.85,0.0,LOW_PRIORITY
ride_component_161,1,1,1,0,28.33,28.33,0,0,0.0,10.84,0.0,LOW_PRIORITY
ride_component_489,1,1,1,0,25.14,25.14,0,0,0.0,10.79,0.0,LOW_PRIORITY
ride_component_535,1,1,1,0,25.41,25.41,0,0,0.0,10.77,0.0,LOW_PRIORITY
ride_component_526,1,1,1,0,25.14,25.14,0,0,0.0,10.74,0.0,LOW_PRIORITY
ride_component_221,1,1,1,0,27.71,27.71,0,0,0.0,10.71,0.0,LOW_PRIORITY
ride_component_308,1,1,1,0,28.27,28.27,0,0,0.0,10.7,0.0,LOW_PRIORITY
ride_component_432,1,1,1,0,23.97,23.97,0,0,0.0,10.7,0.0,LOW_PRIORITY
ride_component_471,1,1,1,0,24.29,24.29,0,0,0.0,10.7,0.0,LOW_PRIORITY
ride_component_314,1,1,1,0,28.28,28.28,0,0,0.0,10.69,0.0,LOW_PRIORITY
ride_component_156,1,1,1,0,30.58,30.58,0,0,0.0,10.68,0.0,LOW_PRIORITY
ride_component_641,1,1,1,0,25.53,25.53,0,0,0.0,10.68,0.0,LOW_PRIORITY
ride_component_268,1,1,1,0,27.76,27.76,0,0,0.0,10.67,0.0,LOW_PRIORITY
ride_component_31,1,1,1,0,36.85,36.85,0,0,0.0,10.67,0.0,LOW_PRIORITY
ride_component_505,1,1,1,0,24.34,24.34,0,0,0.0,10.67,0.0,LOW_PRIORITY
ride_component_502,1,1,1,0,26.71,26.71,0,0,0.0,10.65,0.0,LOW_PRIORITY
ride_component_254,1,1,1,0,27.41,27.41,0,0,0.0,10.64,0.0,LOW_PRIORITY
ride_component_44,1,1,1,0,44.0,44.0,0,0,0.0,10.63,0.0,LOW_PRIORITY
ride_component_163,1,1,1,0,29.92,29.92,0,0,0.0,10.6,0.0,LOW_PRIORITY
ride_component_594,1,1,1,0,24.42,24.42,0,0,0.0,10.57,0.0,LOW_PRIORITY
ride_component_401,1,1,1,0,25.05,25.05,0,0,0.0,10.55,0.0,LOW_PRIORITY
ride_component_484,1,1,1,0,23.32,23.32,0,0,0.0,10.55,0.0,LOW_PRIORITY
ride_component_293,1,1,1,0,26.82,26.82,0,0,0.0,10.54,0.0,LOW_PRIORITY
ride_component_549,1,1,1,0,23.85,23.85,0,0,0.0,10.54,0.0,LOW_PRIORITY
ride_component_531,1,1,1,0,23.57,23.57,0,0,0.0,10.53,0.0,LOW_PRIORITY
ride_component_557,1,1,1,0,23.84,23.84,0,0,0.0,10.53,0.0,LOW_PRIORITY
