pair_id,driver_id,customer_id,evidence_type,observed_value,expected_value,threshold,score_contribution,data_quality_level,description
d2a356488a6d7005||67b19ffa85ba28c1,d2a356488a6d7005,67b19ffa85ba28c1,KB-C_EXTREME_VOLUME,27.0,,cohort_trip_threshold,46.14,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
49d18d93c10b1bc0||9db0d2f91ffc75a6,49d18d93c10b1bc0,9db0d2f91ffc75a6,KB-C_EXTREME_VOLUME,38.0,,cohort_trip_threshold,65.16,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
6c2f20549567d103||7c283effab4dcaea,6c2f20549567d103,7c283effab4dcaea,KB-C_EXTREME_VOLUME,33.0,,cohort_trip_threshold,54.03,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
92f702e5a686b9c4||be5cc6d64ed50de0,92f702e5a686b9c4,be5cc6d64ed50de0,KB-C_EXTREME_VOLUME,20.0,,cohort_trip_threshold,69.22,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
fe9c614486853538||cc4d8d00abbdde42,fe9c614486853538,cc4d8d00abbdde42,KB-C_EXTREME_VOLUME,18.0,,cohort_trip_threshold,50.26,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
b050dcf14f1ea16b||67f5534bf105be4c,b050dcf14f1ea16b,67f5534bf105be4c,KB-C_EXTREME_VOLUME,15.0,,cohort_trip_threshold,54.29,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
d6f7c63c9ece887d||e18e24d03a0dead3,d6f7c63c9ece887d,e18e24d03a0dead3,KB-C_EXTREME_VOLUME,32.0,,cohort_trip_threshold,54.37,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
b5b4a56620b19669||51b643c08a9ba25c,b5b4a56620b19669,51b643c08a9ba25c,KB-C_EXTREME_VOLUME,20.0,,cohort_trip_threshold,50.05,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
a53008c38937ae08||5f011ebc4cfaa010,a53008c38937ae08,5f011ebc4cfaa010,KB-C_EXTREME_VOLUME,17.0,,cohort_trip_threshold,45.8,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
855faae4bc5c31cd||560a5afe5b53b126,855faae4bc5c31cd,560a5afe5b53b126,KB-C_EXTREME_VOLUME,26.0,,cohort_trip_threshold,51.96,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
2ff877bcf6cc0493||faa480c51adf21e6,2ff877bcf6cc0493,faa480c51adf21e6,KB-C_EXTREME_VOLUME,35.0,,cohort_trip_threshold,51.37,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
72f0e6c478e612e5||c832b2f342e2a8fe,72f0e6c478e612e5,c832b2f342e2a8fe,KB-C_EXTREME_VOLUME,15.0,,cohort_trip_threshold,46.43,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
e3b3a761afc18171||26de927c2fb38b37,e3b3a761afc18171,26de927c2fb38b37,KB-C_EXTREME_VOLUME,24.0,,cohort_trip_threshold,53.41,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
83d8f08ed0e73096||d95b5e000559ad65,83d8f08ed0e73096,d95b5e000559ad65,KB-C_EXTREME_VOLUME,22.0,,cohort_trip_threshold,53.59,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
0bc6aefc555a07a6||0cccc55cd49a330d,0bc6aefc555a07a6,0cccc55cd49a330d,KB-C_EXTREME_VOLUME,28.0,,cohort_trip_threshold,42.84,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
e93ea7d59646db67||2a4c3284fe02f241,e93ea7d59646db67,2a4c3284fe02f241,KB-C_EXTREME_VOLUME,17.0,,cohort_trip_threshold,48.72,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
d63a72f37a36f49b||3bfe5a6f87f66977,d63a72f37a36f49b,3bfe5a6f87f66977,KB-C_EXTREME_VOLUME,36.0,,cohort_trip_threshold,51.93,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
5d06622cce833761||bda43ff79f51172e,5d06622cce833761,bda43ff79f51172e,KB-C_EXTREME_VOLUME,12.0,,cohort_trip_threshold,42.78,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
b19d7ba8ee0cdd68||f14ecb532ab90766,b19d7ba8ee0cdd68,f14ecb532ab90766,KB-C_EXTREME_VOLUME,26.0,,cohort_trip_threshold,46.61,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
8dec1612b02307e7||a75855291e5fc922,8dec1612b02307e7,a75855291e5fc922,KB-C_EXTREME_VOLUME,18.0,,cohort_trip_threshold,50.72,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
fdf6ff53120ae679||4058c7a858c2b68a,fdf6ff53120ae679,4058c7a858c2b68a,KB-C_EXTREME_VOLUME,14.0,,cohort_trip_threshold,43.3,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
31a5966f21b4ba4e||87d821a23a5cd7de,31a5966f21b4ba4e,87d821a23a5cd7de,KB-C_EXTREME_VOLUME,11.0,,cohort_trip_threshold,48.39,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
bd9d5bd6a837d6e9||3ac1b109549cc988,bd9d5bd6a837d6e9,3ac1b109549cc988,KB-C_EXTREME_VOLUME,26.0,,cohort_trip_threshold,62.53,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
d56dc5041a15a1a6||35510a2ded08e417,d56dc5041a15a1a6,35510a2ded08e417,KB-C_EXTREME_VOLUME,32.0,,cohort_trip_threshold,48.88,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
2d0fc73ff9d602de||dffacb0f1be6d209,2d0fc73ff9d602de,dffacb0f1be6d209,KB-C_EXTREME_VOLUME,18.0,,cohort_trip_threshold,47.69,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
9bda8bf90cebeba4||dad74dcd87a15af5,9bda8bf90cebeba4,dad74dcd87a15af5,KB-C_EXTREME_VOLUME,22.0,,cohort_trip_threshold,43.84,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
87fdba920f14bdc4||94929da44e46071c,87fdba920f14bdc4,94929da44e46071c,KB-C_EXTREME_VOLUME,9.0,,cohort_trip_threshold,46.86,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
e6226a83e74cde2c||d2765fd5bf813eea,e6226a83e74cde2c,d2765fd5bf813eea,KB-C_EXTREME_VOLUME,22.0,,cohort_trip_threshold,50.24,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
c6963e8e70b25ecd||92f5b10955f7b62e,c6963e8e70b25ecd,92f5b10955f7b62e,KB-C_EXTREME_VOLUME,25.0,,cohort_trip_threshold,61.98,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
c58bd24e790c5d1b||4346b343ed755173,c58bd24e790c5d1b,4346b343ed755173,KB-C_EXTREME_VOLUME,17.0,,cohort_trip_threshold,47.81,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
5b155c30e9228305||b781a89db40e70ec,5b155c30e9228305,b781a89db40e70ec,KB-C_EXTREME_VOLUME,32.0,,cohort_trip_threshold,49.91,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
652280701c4d0c32||0cb58995c54abba0,652280701c4d0c32,0cb58995c54abba0,KB-C_EXTREME_VOLUME,24.0,,cohort_trip_threshold,52.14,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
28d18b5006fb2cdd||e9893b8c86ca92b8,28d18b5006fb2cdd,e9893b8c86ca92b8,KB-C_EXTREME_VOLUME,36.0,,cohort_trip_threshold,56.49,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
460c39188524b386||07388ec6d0654e3b,460c39188524b386,07388ec6d0654e3b,KB-C_EXTREME_VOLUME,21.0,,cohort_trip_threshold,50.87,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
5c80c95ec49760e4||41c1e90362494e4d,5c80c95ec49760e4,41c1e90362494e4d,KB-C_EXTREME_VOLUME,27.0,,cohort_trip_threshold,50.51,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
c3d7ac3f89793351||d09b93bb2845979b,c3d7ac3f89793351,d09b93bb2845979b,KB-C_EXTREME_VOLUME,20.0,,cohort_trip_threshold,44.84,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
86b00492040445a8||7b650054b148d09c,86b00492040445a8,7b650054b148d09c,KB-C_EXTREME_VOLUME,15.0,,cohort_trip_threshold,39.38,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
3573609c2ef68b75||4d734ed9fcd4fc06,3573609c2ef68b75,4d734ed9fcd4fc06,KB-C_EXTREME_VOLUME,14.0,,cohort_trip_threshold,41.0,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
111584d348f70b95||de355ad6baf1aa51,111584d348f70b95,de355ad6baf1aa51,KB-C_EXTREME_VOLUME,33.0,,cohort_trip_threshold,52.63,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
c6ea5eb41b2e2f06||283add2357e13810,c6ea5eb41b2e2f06,283add2357e13810,KB-C_EXTREME_VOLUME,18.0,,cohort_trip_threshold,47.17,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
83f00c64b968cfa6||cbd51e565c5a52d5,83f00c64b968cfa6,cbd51e565c5a52d5,KB-C_EXTREME_VOLUME,26.0,,cohort_trip_threshold,52.78,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
c8829c1ad55e7f1c||41d3cd0ae4e12f2e,c8829c1ad55e7f1c,41d3cd0ae4e12f2e,KB-C_EXTREME_VOLUME,38.0,,cohort_trip_threshold,44.78,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
95562397aeb4b9b5||5a27cfec6e51b6b2,95562397aeb4b9b5,5a27cfec6e51b6b2,KB-C_EXTREME_VOLUME,22.0,,cohort_trip_threshold,47.03,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
bf1442b249ed925e||ce90293333ff55be,bf1442b249ed925e,ce90293333ff55be,KB-C_EXTREME_VOLUME,25.0,,cohort_trip_threshold,49.38,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
031c9ec68840283c||c4c31300d01b9b91,031c9ec68840283c,c4c31300d01b9b91,KB-C_EXTREME_VOLUME,17.0,,cohort_trip_threshold,41.42,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
0888b2b1b0ec8820||313113be6f17c7d8,0888b2b1b0ec8820,313113be6f17c7d8,KB-C_EXTREME_VOLUME,17.0,,cohort_trip_threshold,49.17,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
b37fea7171c50a4f||89017d591c4abd81,b37fea7171c50a4f,89017d591c4abd81,KB-C_EXTREME_VOLUME,20.0,,cohort_trip_threshold,45.58,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
019d9de93d765cc3||6fad3cec31e51149,019d9de93d765cc3,6fad3cec31e51149,KB-C_EXTREME_VOLUME,29.0,,cohort_trip_threshold,39.1,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
64e69e6ac121ffe8||133841525ae1514e,64e69e6ac121ffe8,133841525ae1514e,KB-C_EXTREME_VOLUME,34.0,,cohort_trip_threshold,44.94,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
8397bdba08f52473||ceafc6827726a992,8397bdba08f52473,ceafc6827726a992,KB-C_EXTREME_VOLUME,30.0,,cohort_trip_threshold,40.51,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
652280701c4d0c32||9ff175949ae3d953,652280701c4d0c32,9ff175949ae3d953,KB-C_EXTREME_VOLUME,20.0,,cohort_trip_threshold,49.04,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
ac5ad23248702f61||31195016ed4e705a,ac5ad23248702f61,31195016ed4e705a,KB-C_EXTREME_VOLUME,30.0,,cohort_trip_threshold,64.9,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
ee7d2f2cc6da651a||75ef7cb28c1d698d,ee7d2f2cc6da651a,75ef7cb28c1d698d,KB-C_EXTREME_VOLUME,27.0,,cohort_trip_threshold,44.87,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
cc93a3e44a6f1230||c7074ce36bc909a0,cc93a3e44a6f1230,c7074ce36bc909a0,KB-C_EXTREME_VOLUME,19.0,,cohort_trip_threshold,48.1,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
5955780af597fb71||acd904eb7d2f1ccb,5955780af597fb71,acd904eb7d2f1ccb,KB-C_EXTREME_VOLUME,15.0,,cohort_trip_threshold,45.26,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
f94e52b0bfd5a39f||239a6b4107fca2d6,f94e52b0bfd5a39f,239a6b4107fca2d6,KB-C_EXTREME_VOLUME,28.0,,cohort_trip_threshold,54.92,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
dff67a4fdd760ba5||affff2efdb94e79c,dff67a4fdd760ba5,affff2efdb94e79c,KB-C_EXTREME_VOLUME,20.0,,cohort_trip_threshold,51.15,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
9b410f88dc89eccd||089df9834f04494a,9b410f88dc89eccd,089df9834f04494a,KB-C_EXTREME_VOLUME,23.0,,cohort_trip_threshold,48.56,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
ad3b2a30813cdca9||2ae3a3f1742e7a00,ad3b2a30813cdca9,2ae3a3f1742e7a00,KB-C_EXTREME_VOLUME,25.0,,cohort_trip_threshold,51.09,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
ac5ad23248702f61||243ea0e71a4e1e1e,ac5ad23248702f61,243ea0e71a4e1e1e,KB-C_EXTREME_VOLUME,28.0,,cohort_trip_threshold,67.41,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
33af613bd024e85f||0525af43bc2e7103,33af613bd024e85f,0525af43bc2e7103,KB-C_EXTREME_VOLUME,21.0,,cohort_trip_threshold,43.11,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
d16001e216748caf||475c8dafea88d299,d16001e216748caf,475c8dafea88d299,KB-C_EXTREME_VOLUME,26.0,,cohort_trip_threshold,50.31,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
aa929b3ec727ec4f||f1cc09a62c35963f,aa929b3ec727ec4f,f1cc09a62c35963f,KB-C_EXTREME_VOLUME,20.0,,cohort_trip_threshold,46.64,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
ac5ad23248702f61||7a529c8033873ce1,ac5ad23248702f61,7a529c8033873ce1,KB-C_EXTREME_VOLUME,26.0,,cohort_trip_threshold,65.52,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
def6f67206cb7756||25bdbfc71916c38c,def6f67206cb7756,25bdbfc71916c38c,KB-C_EXTREME_VOLUME,34.0,,cohort_trip_threshold,47.04,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
d8ce0b99e008401e||ae3c7ed271ab1203,d8ce0b99e008401e,ae3c7ed271ab1203,KB-C_EXTREME_VOLUME,19.0,,cohort_trip_threshold,48.87,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
0505591ad33e4fd7||0b82ae42e3883891,0505591ad33e4fd7,0b82ae42e3883891,KB-C_EXTREME_VOLUME,6.0,,cohort_trip_threshold,33.17,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
1e9e16bae86fb8fd||f83b8af127a3c2ac,1e9e16bae86fb8fd,f83b8af127a3c2ac,KB-C_EXTREME_VOLUME,6.0,,cohort_trip_threshold,27.58,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
2c3de002d29c6ca7||8e913410ca1bf7da,2c3de002d29c6ca7,8e913410ca1bf7da,KB-C_EXTREME_VOLUME,6.0,,cohort_trip_threshold,51.43,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
6af17a9fec4e1b0f||75e177a8777cf7c2,6af17a9fec4e1b0f,75e177a8777cf7c2,KB-C_EXTREME_VOLUME,6.0,,cohort_trip_threshold,27.74,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
72a5a561b03dbfb8||6e831490f71b1f3d,72a5a561b03dbfb8,6e831490f71b1f3d,KB-C_EXTREME_VOLUME,6.0,,cohort_trip_threshold,44.1,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
c8e57453ee7b29db||bfc8ac8a223a4bca,c8e57453ee7b29db,bfc8ac8a223a4bca,KB-C_EXTREME_VOLUME,6.0,,cohort_trip_threshold,31.67,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
1e9ab19c0baf6c7f||28e82cbb2878172a,1e9ab19c0baf6c7f,28e82cbb2878172a,KB-C_EXTREME_VOLUME,6.0,,cohort_trip_threshold,27.51,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
c37a94b61c04d59b||625d5f1ea2d69122,c37a94b61c04d59b,625d5f1ea2d69122,KB-C_EXTREME_VOLUME,14.0,,cohort_trip_threshold,45.97,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
7befb7ce8e219542||73ff5ba45a062901,7befb7ce8e219542,73ff5ba45a062901,KB-C_EXTREME_VOLUME,38.0,,cohort_trip_threshold,51.75,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
ac5ad23248702f61||9cba5e1709f5e9c7,ac5ad23248702f61,9cba5e1709f5e9c7,KB-C_EXTREME_VOLUME,25.0,,cohort_trip_threshold,70.61,derived,Driver-customer pair is an extreme weighted edge in the current analysis window.
